"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2015";2,21;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2016";2,11;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2017";2,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2018";2,61;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"listopad";"cebula - za 1 kg";"cena";"2019";3,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2006";1,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2007";1,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2008";1,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2009";1,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2010";2,21;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2011";1,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2012";1,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2013";2,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2014";1,68;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2015";2,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2016";1,99;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2017";2,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2018";2,83;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"grudzień";"cebula - za 1 kg";"cena";"2019";3,62;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2006";1,05;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2007";1,91;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2008";1,45;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2009";1,24;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2010";1,39;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2011";2,42;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2012";1,40;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2013";1,46;"zł";"";
